internalId,tmdbId,name,originCountry
4861,1,Lucasfilm Ltd.,US
1776,2,Walt Disney Pictures,US
226,3,Pixar,US
614,4,Paramount,US
1303,5,Columbia Pictures,US
856,7,DreamWorks Pictures,US
1038,8,Fine Line Features,
1304,9,Gaumont,FR
7423,11,WingNut Films,NZ
2902,12,New Line Cinema,US
51,14,Miramax,US
3358,15,Lama Films,PS
237413,16,United King Films,IL
22426,17,Warner Bros. Entertainment,US
2594,18,Gracie Films,US
2595,19,Film Roman,US
145370,20,Rough Draft Studios,
9681,21,Metro-Goldwyn-Mayer,US
3194,23,Imagine Entertainment,US
3195,24,Mikona Productions GmbH & Co. KG,DE
2596,25,20th Century Fox,US
22588,28,Newmarket Films,US
5296,30,Eddie Murphy Productions,US
13294,32,Buena Vista Pictures,
2976,33,Universal Pictures,US
40595,34,Sony Pictures,US
12061,35,Lions Gate Films,US
6821,37,Gramercy Pictures,US
1148804,38,Zespół Filmowy TOR,PL
248221,39,Docurama,
12508,41,Orion Pictures,US
287746,42,Universal Pictures Corporation,
12621,43,Fox Searchlight Pictures,US
3924,44,Cruise/Wagner Productions,US
18347,45,Road Movies,DE
1039,46,WDR,DE
1040,47,Constantin Film,DE
1736,49,El Deseo,ES
445584,52,Film Polski Film Agency,
12622,54,The Independent Film Channel Productions,US
3925,56,Amblin Entertainment,US
93021,58,Sony Pictures Classics,US
52,59,A Band Apart,US
12062,60,United Artists,US
13577,68,Big Primate Pictures,
13578,69,MFPV Film,
8207,70,American Zoetrope,US
1370484,74,Moovie,DE
1041,76,Zentropa Entertainments,DK
1737,77,Milestone Productions,
8132,78,Hotshot Films,RU
8555,79,Village Roadshow Pictures,US
7201,80,The Zanuck Company,US
7202,81,Plan B Entertainment,US
64855,82,Renn Productions,FR
15705,83,France 2 Cinéma,FR
3465,84,Tree Line Films,US
3466,85,Konrad Pictures,
3467,86,Catfish Productions,US
31980,88,Hawk Films,
3359,89,Augustus Film,
95820,90,Tartan,GB
3360,91,Lama Productions,
3361,93,Lumer Films,
1042,94,ARTE France Cinéma,FR
639249,95,Hazazah Film,
46723,96,X Filme Creative Pool,DE
3329,97,Castle Rock Entertainment,US
396183,101,Roxy Film,DE
1043,104,Canal+,FR
12950,105,CiBy 2000,FR
1090743,108,Concordia,
458441,117,Kunsthochschule für Medien Köln,DE
64000,118,Det Danske Filminstitut,DK
1044,119,DR,DK
100627,122,Coop 99 Filmproduktion,AT
433885,124,Südwestrundfunk,DE
3573,126,Lakeshore Entertainment,US
198455,128,Time Warner,
8556,129,Section Eight,US
1777,130,Jerry Bruckheimer Films,US
196497,131,Bender-Spink Inc.,
750426,133,North Fork Motion Picture,
94202,134,Rogue Pictures,
15551,136,City Light Films,US
5094,137,Great American Films Limited Partnership,
885319,138,Schramm Film,DE
17580,140,Pandora Film,DE
410296,142,Silver Films,FR
117394,145,Gaumont Columbia Tristar Films,
713646,146,Handmade Films Ltd.,
15706,147,Fidélité Productions,FR
15707,148,Gimages,
15708,149,FOZ,FR
15709,150,Headforce Ltd.,
359326,151,Marquis Film,
28722,152,Icon Productions,US
81095,155,Nimbus Film,DK
1045,157,SVT Drama,
15900,158,Spyglass Entertainment,US
15901,159,Shady Acres Entertainment,US
15902,160,Pit Bull Productions,
309898,162,BR,DE
2480,163,Revolution Films,GB
16292,164,Rhombus Media,CA
110955,166,Peter Rommel Productions,
162956,168,Jadran Film,HR
2501,171,Malpaso Productions,US
8557,172,NPV Entertainment,US
2502,174,Warner Bros. Pictures,US
17365,175,Caravan Pictures,US
17447,176,Different Tree Same Wood Productions,
82035,177,Columbia TriStar,
17477,178,Ghoulardi Film Company,US
17478,179,The Magnolia Project,
17581,181,Channel Four Films,GB
183,182,JVC,JP
17582,183,Le Studio Canal+,FR
17583,184,Locus Solus Entertainment,
7839,185,Pandora Cinema,
17584,186,Pyramide Productions,FR
17585,187,"Victor Musical Industries, Inc.",JP
17627,188,Big Beach,US
17663,189,ARP Sélection,FR
17664,190,Alice Productions,
21012,191,Senator Film,DE
735536,192,Shochiku,JP
1242716,193,Excelsa Films,IT
17693,194,Hobby Films,
17694,195,Pole Star,US
76090,198,GFP Medienfonds,
474711,199,3 Sat,
100628,200,Corazón International,
1046,201,ARTE,FR
