endNodeInternalId,startNodeInternalId
48,51
48,52
180,183
180,184
214,216
224,226
611,614
611,615
611,616
855,856
855,857
1037,1038
1037,1039
1037,1040
1037,1041
1037,1042
1037,1043
1037,1044
1037,1045
1037,1046
1037,1047
1037,1048
1037,1049
1037,1050
1037,1051
1037,1052
1037,1053
1037,1054
1037,1055
1037,1056
1037,1057
1037,1058
1037,1059
1037,1060
1037,1061
1037,1062
1037,1063
1149,1040
1149,1152
1149,1153
1149,1154
1299,1303
1299,1304
1299,1305
1735,1736
1735,1737
1775,1776
1775,1777
2058,51
2058,52
2058,2059
2297,2299
2297,2300
2478,2480
2499,2501
2499,2502
2593,2594
2593,2595
2593,2596
2593,2597
2593,2598
2593,2599
2593,2600
2680,2681
2680,2682
2680,2683
2735,1776
2735,1777
2735,2736
2901,2902
2901,2903
2901,2904
2975,2976
2975,2977
2975,2978
3193,3194
3193,3195
3328,3329
3328,2501
3357,3358
3357,3359
3357,3360
3357,3361
3357,1042
3357,3362
3357,3363
3357,3364
3357,3365
3357,3366
3357,3367
3392,3393
3464,3465
3464,3466
3464,3467
3464,3468
3464,3469
3572,3573
3572,2501
3572,2502
3572,3574
3572,3575
3699,3700
3699,3701
3699,3702
3699,3703
3699,3704
3699,3705
3755,2902
3755,3756
3755,3757
3923,614
3923,856
3923,3924
3923,3925
4235,2502
4235,4236
4325,3329
4325,4326
4325,4327
4376,4377
4376,4378
4376,4379
4376,4380
4428,2502
4428,4429
4428,4430
4554,3329
4554,4555
4554,4326
4573,2976
4573,4574
4573,4575
4573,4576
4573,4577
4573,4578
4832,4833
4860,4861
4860,614
5006,4861
5006,614
5093,5094
5093,5095
5227,4861
5227,614
5295,614
5295,5296
5295,5297
5397,5398
5397,5399
5409,1777
5409,5410
5409,5411
5692,614
5692,5296
5692,5297
5806,5807
5806,5808
5840,856
5840,2976
5840,5841
5840,2300
5840,5842
5840,5843
5840,5844
6060,4377
6060,6061
6060,6062
6060,6063
6060,616
6105,1304
6105,6106
6177,2976
6177,3925
6312,2596
6312,6313
6312,6314
6312,6315
6312,6316
6312,6317
6312,6318
6444,1303
6444,6062
6577,2976
6684,5410
6684,6685
6820,6821
6820,6061
6820,3704
6964,856
6964,3700
7087,614
7200,7201
7200,7202
7200,7203
7422,7423
7422,2902
7422,7424
7633,7423
7633,2902
7633,7424
7714,7423
7714,2902
7714,7424
7740,2976
7740,5410
7740,3704
7740,7741
7740,7742
7780,1303
7838,7839
7838,7840
7838,7841
7838,7842
8009,8010
8009,8011
8009,2683
8009,8012
8131,8132
8144,614
8206,8207
8206,8208
8206,2683
8206,8209
8301,614
8333,2502
8333,2903
8333,8334
8333,8335
8333,8336
8531,614
8554,8555
8554,8556
8554,8557
8554,2502
8554,8558
8746,2596
8867,8555
8867,8556
8867,2502
8867,8558
8867,8868
9019,2976
9019,3925
9121,9122
9121,6313
9121,9123
9121,9124
9222,614
9248,2596
9248,6313
9248,6314
9248,6315
9347,9348
9432,614
9449,614
9548,9549
9548,9550
9548,9551
9548,9552
9645,9646
9680,9681
9680,9682
9720,2976
9720,3702
9720,9721
9720,3704
9720,9722
9720,9723
9892,856
9892,2596
9892,3924
9892,3925
9892,9893
9892,9894
9892,9895
10404,8556
10404,2502
10404,10405
10462,2976
10462,10463
10462,10464
10462,10465
10514,51
10514,52
10514,10515
10514,10516
10684,10685
10684,10686
10684,10687
10684,10688
10684,10689
10684,10690
10684,10691
10684,10692
10878,51
10878,10879
10878,10880
11063,51
11063,10880
11063,11064
11063,11065
11063,11066
11063,11067
11063,11068
11147,11148
11147,11149
11147,11150
11147,11151
11240,614
11326,2976
11326,3925
11408,11409
11408,4430
11408,11410
11651,614
11772,614
11772,9895
11940,614
11940,9895
12060,12061
12060,12062
12060,12063
12060,12064
12060,12065
12060,12066
12060,12067
12159,12160
12159,5410
12159,6685
12159,12161
12246,9549
12246,9550
12246,9551
12325,12326
12325,9549
12325,9550
12325,9551
12325,12327
12416,4861
12416,614
12416,12417
12507,12508
12507,12509
12507,12510
12507,12511
12507,12512
12620,12621
12620,12622
12620,12623
12620,12624
12620,12625
12685,8207
12685,2502
12718,8556
12718,2502
12718,12719
12718,12720
12718,12721
12718,12722
12788,2976
12788,8207
12861,1303
12861,12862
12949,12950
12949,12951
12949,12952
13059,13060
13084,2502
13084,13085
13084,13086
13084,13087
13084,13088
13084,13089
13162,614
13162,8207
13293,13294
13293,5410
13380,2976
13426,2594
13426,2596
13426,13427
13507,614
13576,7423
13576,2976
13576,13577
13576,13578
13763,13764
13763,13765
13763,13766
13815,2596
13815,3393
13922,2502
13922,6061
13922,13923
14042,2502
14042,2903
14042,8334
14042,8335
